Supplementary Table 4. Detailed charateristics of included stuides,,,,,,,,,,,,,,,,,,,,,,
Study ID,PMID,Author name,Year,Study population representativeness,Follow-up (Y/N),Primary exposure of interest (Y/N),Study population by region,Continent,N Total,N AD,AD outcome studied,Stages of AD reported (R/NR),AD diagonosis tool,Sample source,Type of assay reported (R/NR),Number of peripheral immune biomarkers,Age-matched (Y/N),Gender-matched (Y/N),Education-matched (Y/N),Other-matched (Y/N),No matching at all (Y/N),Main analytical methods
139,28461186,Fan et al.,2017,Single hospital or clinic,N,Y,China,Asia,375,185,AD,NR,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,"Logistic 
regression"
140,21463871,Choi et al.,2011,Single hospital or clinic,N,Y,Korea,Asia,100,62,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,1,N,N,N,N,Y,ANOVA
141,17761554,Nielsen et al.,2007,Single hospital or clinic,N,N,Sweden,Europe,295,258,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,Y,N,N,N,N,Mann–Whitney test
142,32678011,Liang et al.,2020,Single hospital or clinic,N,Y,Taiwan,Asia,102,76,AD,NR,"MMSE, Clinical Dementia Rating (CDR), Hopkins Verbal Learning Test (HVLT), and Hachinski Ischemia Scale (HIS) and HIA-AA",Plasma,R,1,N,N,N,N,Y,"Categorical variables were analyzed using Pearson’s chi- square test, and continuous variables were analyzed using Student’s T test or the Mann-Whitney test."
143,19395124,Marksteiner et al.,2011,Single hospital or clinic,N,N,Austria,Europe,115,96,AD,NR,NR,Plasma,R,8,N,N,N,N,Y,ANOVA
144,29039020,Magalhães et al.,2018,Single hospital or clinic,N,Y,US,North America,75,33,AD,R,NIA-AA and Clinical Dementia Rating (CDR) score=0.5 or 1,Serum,R,4,N,N,N,N,Y,Chi-sq test
145,7768042,Shalit et al.,1995,Single hospital or clinic,N,N,Israel,Asia,38,25,AD,R,NINCDS-ADRDA,Plasma,R,3,Y,N,N,N,N,Wilcoxon test
146,17949824,Motta et al.,2007,Single hospital or clinic,N,Y,Italy,Europe,71,51,AD,R,NINCDS-ADRDA and DSM-IV,Plasma,R,4,Y,N,N,N,N,ANOVA
147,17934323,Guerreiro et al. ,2007,Single hospital or clinic,N,Y,Portugal,Europe,60,35,AD,R,NINCDS-ADRDA and DSM-IV,Serum,R,4,Y,N,N,N,N,ANOVA
148,9325475,Kálmán et al.,1997,Single hospital or clinic,N,Y,Scotland,Europe,65,41,AD,R,NINCDS-ADRDA and DSM-III-R,Serum,R,1,Y,Y,N,N,N,Wilcoxon test
149,35342094,Zhang et al.,2022,Single hospital or clinic,N,Y,China,Asia,738,NR,AD,R,NIA-AA,Plasma and serum,R,2,N,N,N,N,Y,ANCOVA
150,1770834,Cacabelos et al.,1991,Single hospital or clinic,N,Y,Spain,Europe,24,16,AD,R,DSM-III-R and NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,"ANOVA, Mann-Whitney test"
151,8971699,Alvare et al.,1996,Single hospital or clinic,N,Y,Spain,Europe,40,20,AD,R,NINCDS-ADRDA and DSM-IV,Plasma and serum,R,2,Y,N,N,N,N,"Mann-Whitney U test, ANOVA"
152,21239851,Smith et al.,2011,Single hospital or clinic,N,N,UK,Europe,68,34,AD,R,NINCDS-ADRDA,Plasma,R,2,N,N,N,N,Y,"Student 
T tests"
153,22539447,Parker et al.,2013,Single hospital or clinic,N,Y,US,North America,64,34,AD,R,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,Linear regression
154,19996595,Forlenza et al.,2009,Single hospital or clinic,N,Y,Brazil,South America,89,58,AD,R,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,ANOVA
155,24804776,Westman et al.,2014,Single hospital or clinic,N,Y,Sweden,Europe,65,30,AD,NR,NINCDS-ADRDA and DSM-IV ,Plasma,R,9,Y,Y,N,N,N,non-parametric Mann-Whitney U-test
156,16516234,Richartz-Salzburger et al.,2007,Single hospital or clinic,N,Y,Germany,Europe,77,43,AD,NR,NINCDS-ADRDA,Plasma,R,9,Y,N,N,N,N,Regression
157,19513308,Choi et al.,2008,Single hospital or clinic,N,Y,Korea,Asia,24,11,AD,NR,NINCDS-ADRDA,Serum,R,16,N,N,N,N,Y,ANOVA with Tukey’s honest signi- ficant-difference post-hoc test
158,21484243,Corsi et al.,2011,Single hospital or clinic,N,N,Italy,Europe,76,70,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,11,N,N,N,N,Y,Mann–Whitney and Kruskall–Wallis tests
159,32505187,Saresella at al.,2020,Single hospital or clinic,N,Y,Italy,Europe,60,30,AD,NR,NINCDS-ADRDA,Serum,R,5,Y,Y,N,N,N,Kruskal-Wallis ANOVA; 2-tailed Mann-Whitney U test
160,33810505,Chiurchiù et al.,2021,Single hospital or clinic,N,Y,Italy,Europe,30,15,AD,NR,Dubois et al. criteria 2010,Plasma,R,4,Y,Y,N,N,N,"non-parametrical Mann–Whitney U test, one-way ANOVA followed by the Tukey test."
161,8556481,Chao et al.,1994,Single hospital or clinic,N,Y,US,North America,44,22,AD,NR,NINCDS-ADRDA,Serum,R,3,N,N,N,N,Y,paired Student's T test
162,10195318,Song et al.,1999,Single hospital or clinic,N,Y,Belgium,Europe,47,15,AD,NR,DSM-IV,Plasma,R,3,Y,N,N,N,N,ANOVA and ANCOVA
163,12928047,Teunissen et al.,2003,Single hospital or clinic,N,Y,Netherlands,Europe,95,34,AD,NR,"NINCDS-ADRDA, DSM-Iv and UK PD Society Brain Bank Clinical Diagnostic Criteria",Serum,R,3,N,N,N,N,Y,Logistic regression
164,24155977,Westman et al.,2013,Single hospital or clinic,N,Y,Sweden,Europe,110,60,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma and serum,R,5,Y,N,N,N,N,Mann–Whitney U test
165,26738345,Kizilarslanoğlu et al.,2015,Single hospital or clinic,N,Y,Turkey,Europe & Asia,70,32,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,3,N,N,N,N,Y,Mann–Whitney U test
166,26337250,Bozluolcay et al.,2016,Single hospital or clinic,N,N,Turkey,Europe & Asia,55,30,AD,NR,NINCDS-ADRDA,Serum,R,4,Y,N,N,N,N,"non-parametric Kruskal–Wallis test
Mann–Whitney test"
167,29420357,Nikolaos et al.,2018,Single hospital or clinic,N,N,Athen,Europe,84,61,AD,NR,NINCDS-ADRDA,Serum,R,4,N,N,N,N,Y,nonparametric Kruskal–Wallis (KW) test; Dunn's correction for type I error; Mann–Whitney U test
168,26828804,Savas at al.,2016,Single hospital or clinic,N,Y,Turkey,Europe & Asia,97,59,AD,NR,NINCDS-ADRDA,Plasma,R,3,N,N,N,N,Y,"For continuous variables, the differences between the AD and control groups were assessed using the Mann–Whitney test."
169,23874844,Maftei et al.,2013,Single hospital or clinic,N,N,Germany,Europe,87,45,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,1,Y,Y,N,N,N,Welch’s two-sample T tests and receiver-operating characteristic (ROC) curve analysis
170,26706786,Yu et al.,2016,Single hospital or clinic,N,Y,China,Asia,90,50,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,2,Y,Y,N,N,N,independent Student's T test
171,16961066,Malaguarrnera et al.,2006,Single hospital or clinic,N,Y,Italy,Europe,70,40,AD,NR,"DSM-IV-R, NINCDS-ADRDA, and Hachinski’s ischemic score ≤ 4 ",Plasma,R,2,Y,N,Y,Y,N,ANOVA and Student’s T test
172,29915582,Oberstein et al.,2018,Single hospital or clinic,N,Y,Germany,Europe,54,14,AD,NR,German version of Consortium to Establish a Registry for AD (CERAD) clinical assessment battery,Blood,R,2,Y,Y,N,N,N,"ANOVA, the Mann–Whitney U test or Kruskal–Wallis test followed by Dunn’s multiple comparison test"
173,36349985,Huang et al.,2023,Regional,N,Y,Australia,Australia,418,221,AD,NR,DSM-IV and ICD-10,Blood,NR,4,N,N,N,N,Y,Logistic regression and receiver operating characteristic (ROC) analyses
174,10462168,Bruunsgaard et al.,1999,Single hospital or clinic,N,Y,Denmark,Europe,207,71,AD,R,"ICD-10, CDR and IADL",Plasma,R,1,N,N,N,N,Y,ANOVA
175,21466745,Laske et al.,2011,Single hospital or clinic,N,N,Germany,Europe,230,130,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Best-performing radial basis function (RBF) kernel-based SVM
176,23948885,Gezen-Ak et al.,2013,Single hospital or clinic,N,Y,Turkey ,Europe & Asia,126,76,AD,NR,DSM-IV,Serum,R,2,Y,N,N,N,N,ANOVA
177,26004156,Dursun et al.,2015,Single hospital or clinic,N,Y,Turkey,Europe & Asia,127,74,AD,NR,MMSE,Serum,R,1,Y,N,N,N,N,Multiple regression analysis
178,8532107,Lieberman et al.,1995,Single hospital or clinic,N,Y,US,North America,143,57,AD,NR,DSM-III,Serum,R,1,N,N,N,N,Y,ANOVA
179,11378247,Scacchi et al.,2001,Single hospital or clinic,N,Y,Italy,Europe,241,85,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,Nephelometric assay
180,12059070,Scacchi et al.,2002,Single hospital or clinic,N,Y,Italy,Europe,250,93,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,Parametric (ANOVA) and non- parametric (Kruskall-Wallis) tests were performed to compare the α2M mean plasma levels associated with the different α2M and APOE genotypic classes.
181,18378357,Schuitemaker et al.,2009,Single hospital or clinic,N,Y,Netherlands,Europe,212,145,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,ANCOVA
182,34331157,Kara et al.,2022,Single hospital or clinic,N,Y,Turkey,Europe & Asia,255,94,AD,NR,DSM-IV,Blood,NR,1,Y,Y,N,N,N,ANCOVA
183,35922871,Prins et al.,2022,Single hospital or clinic,N,Y,Netherlands,Europe,100,50,AD,NR,NR,Plasma,R,3,N,N,N,N,Y,ANCOVA
184,23871825,Gubandru et al.,2013,Single hospital or clinic,Y,Y,Romania,Europe,31,21,AD,NR,NR,Serum,R,2,N,N,N,Y,N,Kolmogorov–Smirnov test followed by Mann–Whitney
185,12928049,Sala et al.,2003,Single hospital or clinic,N,Y,Italy,Europe,48,32,AD,R,NINCDS-ADRDA and DSM-IV,Plasma,R,3,Y,N,N,N,N,ANOVA
186,18937113,Angelopoulos et al.,2008,Single hospital or clinic,N,Y,Greece,Europe,87,56,AD,R,NINCDS-ADRDA,Blood,R,5,N,N,N,N,Y,"Mann-Whitney test, the Kruskal-Wallis test, and the Spearman’s Rank Correlation Coefficient"
187,8939278,Licastro et al.,1996,Single hospital or clinic,N,Y,Italy,Europe,21,11,AD,R,NINCDS-ADRDA and DSM-III-R,Serum,R,1,N,N,N,N,Y,student's T test
188,27802234,Crispoltoni et al.,2017,Single hospital or clinic,N,Y,Italy,Europe,49,36,AD,R,NINCDS-ADRDA,Plasma,R,1,Y,N,N,Y,N,ANOVA and student T test
189,NIP2,Monte et al.,2017,Single hospital or clinic,N,Y,US,North America,39,10,AD,NR,NINCDS-ADRDA,Serum,R,14,N,N,N,N,N,ANOVA
190,35950445,Galgani et al.,2022,Single hospital or clinic,N,Y,Italy,Europe,133,28,AD,NR,NIA-AA,Blood,R,7,Y,N,N,N,N,ANOVA
191,9447570,Singh et al.,1997,Single hospital or clinic,N,Y,US,North America,39,22,AD,NR,NINCDS-ADRDA,Plasma,R,4,Y,Y,N,N,N,Student T test
192,22303443,Westin et al.,2012,Single hospital or clinic,N,Y,Sweden,Europe,72,42,AD,NR,NINCDS-ADRDA and DSM-III-R,Plasma,R,4,N,N,N,N,Y,Mann-Whitney U-test
193,27671345,Hesse et al.,2016,Single hospital or clinic,N,Y,Germany,Europe,60,36,AD,NR,NINCDS-ADRDA and DSM-IV-TR,Serum,R,3,Y,N,N,N,N,Mann-Whitney rank sum test
194,1950471,Araga et al.,1991,Single hospital or clinic,N,Y,Japan,Asia,87,50,AD,NR,DSM-III-R,Serum,R,3,Y,N,N,N,N,Mann–Whitney
195,7487688,Hu et al.,1995,Single hospital or clinic,N,Y,Australia,Australia,43,20,AD,NR,DSM-III,Plasma,R,4,N,N,N,N,Y,ANOVA
196,15992563,Richartz et al.,2005,Single hospital or clinic,N,Y,Germany,Europe,52,27,AD,NR,NINCDS-ADRDA,Plasma,R,4,N,N,N,N,Y,Wilcoxon rank sum test and Chi-sq test
197,15677865,Richartz et al.,2005,Single hospital or clinic,N,Y,Germany,Europe,50,27,AD,NR,NINCDS-ADRDA,Plasma,R,4,Y,N,N,N,N,Wilcoxon rank sum test and Chi-sq test
198,16688597,Rota et al.,2006,Single hospital or clinic,N,Y,Italy,Europe,55,30,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,4,Y,N,N,N,N,Nonparametric tests
199,18690833,Kassner et al.,2008,Single hospital or clinic,N,Y,Germany,Europe,10,5,AD,NR,NINCDS-ADRDA,Plasma,R,5,Y,N,N,N,N,Mann Whitney U or by the unpaired Student’s T test
200,23585364,Richardson et al.,2013,Single hospital or clinic,N,Y,UK,Europe,101,66,AD,NR,NINCDS-ADRDA,Serum,R,3,N,N,N,N,Y,Kruskal–Wallistests
201,23515357,Biella et al.,2013,Single hospital or clinic,N,N,Italy,Europe,56,33,AD,NR,NINCDS-ADRDA,Serum,R,5,N,N,N,N,Y,ANOVA
202,35708851,Sochocka et al.,2022,Single hospital or clinic,N,Y,Poland,Europe,39,22,AD,NR,DSM-V and NINCDS-ADRDA,Plasma and serum,R,4,Y,N,N,N,N,t-studenT test
203,1927262,Esumi et al.,1991,Single hospital or clinic,N,Y,Japan,Asia,32,22,AD,NR,DSM-III,Serum,R,1,Y,Y,N,N,N,Wilcoxon's rank sum test
204,12218645,Borroni et al.,2002,Single hospital or clinic,N,Y,Italy,Europe,60,30,AD,NR,NINCDS-ADRDA and CDR<1,Plasma,R,1,Y,Y,N,N,N,Kruskal-Wallis test
205,32649324,Tramutola et al.,2018,Single hospital or clinic,N,Y,Italy,Europe,38,19,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,Y,N,N,N,Student's T test
206,31217537,Ciccocioppo et al.,2019,Single hospital or clinic,N,Y,Italy,Europe,18,10,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,Y,N,N,N,Mann-Whitney U test
207,2690117,Matsubara et al.,1989,Single hospital or clinic,N,Y,Japan,Asia,97,20,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,"Student’s T tests, Cochran-cox test"
208,2147546,Matsubara et al.,1990,Single hospital or clinic,N,Y,Japan,Asia,127,38,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Student’s T test and/or the Cochran-Cox test.
209,1564514,Pirttila et al.,1992,Single hospital or clinic,N,Y,Finland,Europe,68,33,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,Y,N,N,N,N,ANOVA
210,9194954,Hamepl et al.,1997,Single hospital or clinic,N,N,Germany,Europe,62,51,AD,NR,NINCDS-ADRDA and DSM-III-R,Serum,R,1,N,N,N,N,Y,ANOVA
211,9825023,Bonaccorso et al.,1998,Single hospital or clinic,N,Y,US,North America,30,15,AD,NR,DSM-III-R,Serum,R,2,Y,N,N,N,N,ANOVAs
212,17827418,Rentzos et al.,2007,Single hospital or clinic,N,Y,Greece,Europe,35,15,AD,NR,NINCDS-ADRDA and NINDS-AIREN,Serum,R,1,N,N,N,N,Y,ANOVA
213,19809863,Lepara et al.,2009,Single hospital or clinic,N,Y,Bosnia and Herzegovina,Europe,60,30,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,Student T tests or Mann– Whitney test
214,23230229,Huang et al.,2013,Single hospital or clinic,N,Y,China,Asia,47,28,AD,NR,DSM-IV,Plasma and serum,R,2,N,N,N,N,Y,Nonpaired T tests and Mann-Whitney tests
215,29369398,Dong et al.,2018,Single hospital or clinic,N,Y,US,North America,64,42,AD,R,"Progressive episodic memory impairment, characterized by low free recall not normalized by semantic cueing; absence of extrapyramidal signs; a cerebrospinal fluid (CSF) profile of AD, when available, defined as a score <0.8, calculated with the formula amyloid-b42/[240 1 (1.18 3 T-tau)]; CDR<0.5",Serum,R,2,Y,N,N,N,N,ANOVA
216,23242124,Alsadany et al.,2013,Single hospital or clinic,N,Y,Egypt,Asia & Africa,50,25,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,1,N,N,N,N,Y,Student T test or Mann-Whitney test
217,23201485,Salani et al.,2013,Single hospital or clinic,N,Y,Italy,Europe,38,13,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,Mann–Whitney U test
218,24333505,Marksteiner et al.,2014,Single hospital or clinic,N,Y,Austria,Europe,56,33,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,ANOVA
219,28130814,Kim et al.,2017,Single hospital or clinic,N,Y,Korea,Asia,63,35,AD,NR,NINCDS-ADRDA,Plasma,R,2,N,N,N,N,Y,ANOVA and Chi-sq tests
220,21875409,Hochstress et al.,2012,Single hospital or clinic,N,Y,Austria,Europe,60,34,AD,NR,NINCDS-ADRDA,NR,R,7,N,N,N,N,Y,ANOVA
221,6982128,Macdonald et al.,1982,Single hospital or clinic,N,Y,UK,Europe,82,41,AD,NR,NR,Plasma,R,4,Y,N,N,N,N,ANOVA
222,25277040,Lueg et al.,2015,Single hospital or clinic,N,Y,Germany,Europe,60,46,AD,NR,NR,Plasma,R,1,N,N,N,N,Y,ANOVA and Chi-sq tests
223,11992567,Shibata et al.,2002,Multi-hospital,N,Y,Japan,Asia,41,15,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,Mann-Whitney’s U test
224,18841009,Nilsson et al.,2008,Single hospital or clinic,N,Y,Sweden,Europe,428,80,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Mann-Whitney U test
225,36613538,Giacconi et al.,2022,Single hospital or clinic,N,y,Italy,Europe,282,95,AD,NR,NINCDS-ADRDA and DSM-IV,Blood,R,1,N,N,N,N,Y,ANCOVA
226,37250565,Evlice et al.,2023,Single hospital or clinic,N,Y,Turkey,Europe & Asia,160,132,AD,NR,NINCDS-ADRDA and CDR,Blood,R,1,Y,N,N,N,N,Mann Whitney
227,26283879,Song et al.,2015,Single hospital or clinic,N,Y,Korea,Asia,851,532,AD,NR,NINCDS-ADRDA,Serum,NR,1,N,N,N,N,Y,ANOVA
228,3487743,Small et al.,1986,Single hospital or clinic,N,Y,US,North America,51,26,AD,R,DSM-III,Plasma and serum,R,1,N,N,N,N,Y,one-tailed Fisher ExacT test
229,9405000,Kira et al.,1997,Single hospital or clinic,N,Y,Japan,Asia,149,13,AD,R,NINCDS-ADRDA and DSM-III-R,Serum,R,1,N,N,N,N,Y,NR
230,15843049,Lindberg et al.,2005,Single hospital or clinic,N,Y,Sweden,Europe,23,12,AD,R,NINCDS-ADRDA and DSM-IV,Serum,R,2,N,N,N,N,Y,"Kruskall–Wallis, Mann–Whitney"
231,25408215,Bulati et al.,2015,Single hospital or clinic,N,Y,US,North America,50,35,AD,R,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,Mann–Whitney nonparametric U test
232,19494434,Larbi et al.,2009,Single hospital or clinic,N,Y,Canada,North America,18,12,AD,R,NINCDS-ADRDA and DSM-IV,NR,R,2,Y,N,N,N,N,ANOVA or Student’s T test
233,2452738,Giometto et al.,1988,Single hospital or clinic,N,Y,Italy ,Europe,38,20,AD,NR,NINCDS-ADRDA,Serum,R,4,Y,N,N,N,N,Student’s T tests
234,30071285,Kilic et al.,2018,Single hospital or clinic,N,Y,Turkey,Europe & Asia,129,49,AD,NR,NINCDS-ADRDA,Plasma and serum,R,3,N,N,N,N,Y,one-way ANOVA; Tukey's High Significant Difference (HSD) test
235,14665714,Armanini et al.,2000,Single hospital or clinic,N,N,Italy,Europe,46,23,AD,NR,DSM-IV,Plasma,R,3,Y,N,N,N,N,Mann Whitney
236,17124644,Schindowski et al.,2006,Single hospital or clinic,N,Y,Germany,Europe,47,21,AD,NR,NINCDS-ADRDA,Blood,R,3,Y,N,N,N,N,Student’s T test
237,32441872,D'Angelo et al.,2020,Single hospital or clinic,N,Y,Italy,Europe,40,11,AD,NR,NINCDS-ADRDA,Blood,R,3,Y,N,N,N,N,Generalized linear models
238,36437994,Wang et al.,2022,Single hospital or clinic,N,Y,China,Asia,60,30,AD,NR,IWG-2,Blood,R,4,N,N,N,N,Y,ANOVA
239,18992723,Yang et al.,2009,Single hospital or clinic,N,Y,China,Asia,233,112,AD,NR,NINCDS-ADRDA and DSM-III,Serum,R,1,Y,Y,N,N,N,Logistic regression analysis
240,11236825,Licastro et al.,2001,Single hospital or clinic,N,Y,Italy,Europe,22,11,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,2,N,N,N,N,Y,ANOVA
241,17917159,Zaciragic et al.,2007,Single hospital or clinic,N,Y,Bosnia and Herzegovina,Europe,30,15,AD,NR,NINCDS-ADRDA,Plasma and serum,R,1,Y,N,N,N,N,Mann-Whitney U Tests
242,21633502,Bigalke et al.,2011,Single hospital or clinic,N,Y,Germany,Europe,78,41,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,1,N,N,N,N,Y,Mann-Whitney U-test
243,21729423,Rasmuson et al.,2011,Single hospital or clinic,N,Y,Sweden,Europe,30,15,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Linear regression model
244,17388976,Galimbert et al.,2007,Single hospital or clinic,N,Y,Italy,Europe,77,48,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,Y,N,Mann–Whitney test
245,1683096,Ikeda et al.,1991,Single hospital or clinic,N,Y,Japan,Asia,26,13,AD,NR,NINCDS-ADRDA and DSM-III-R,Plasma,R,2,N,Y,N,N,N,Mann–Whitney
246,7936055,Pirttila et al.,1994,Single hospital or clinic,N,Y,Finland,Europe,82,40,AD,NR,NINCDS-ADRDA,Serum,R,2,Y,N,N,N,N,Kruskall-Wallis one-way ANOVA
247,11268360,Solerte et al.,2000,Single hospital or clinic,N,Y,Italy,Europe,37,22,AD,NR,NINCDS-ADRDA and DMS III-R,Serum,R,2,N,N,N,N,Y,ANOVA
248,11240564,Tarkowski et al.,2001,Single hospital or clinic,N,Y,Sweden,Europe,35,20,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,Student's test
249,11589916,De Luigi et al.,2001,Single hospital or clinic,N,Y,Switzerland,Europe,87,44,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,Student's test
250,11893840,Richartz et al.,2002,Single hospital or clinic,N,Y,Germany,Europe,36,19,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,N,N,N,Wilcoxon rank sum test and ̄2 test
251,12664314,Bagli et al.,2003,Single hospital or clinic,N,Y,Germany,Europe,83,58,AD,NR,NINCDS-ADRDA,Plasma,R,2,Y,N,N,N,N,Student's test
252,14512725,Dziedzic et al.,2003,Single hospital or clinic,N,Y,Poland,Europe,30,18,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,Mann–Whitney
253,15533994,Rezento et al.,2004,Single hospital or clinic,N,Y,Greece,Europe,40,25,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,Mann-Whitney U test
254,16783499,Yasutake et al.,2006,Single hospital or clinic,N,Y,Japan,Asia,93,60,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,ANOVA;Student’s T test
255,19766699,Davis et al.,2009,Single hospital or clinic,N,Y,Trinidad and Tobago,South America,69,18,AD,NR,NINCDS-ADRDA and DSM-IV-TR,Serum,R,1,Y,N,N,N,N,NR
256,20167378,Geppert et al.,2010,Single hospital or clinic,N,Y,Poland,Europe,41,22,AD,NR,DSM-III-R and NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,U Mann–Whitney tests.
257,22264991,Chen et al.,2012,Single hospital or clinic,N,Y,China,Asia,65,43,AD,NR,NINCDS-ADRDA,Serum,R,1,Y,N,Y,N,N,"ANOVA test, post hoc Least significanT test, Kruskal–Wallis test, Mann–Whitney U test and Chi-sq test"
258,23380586,Zhang et al.,2013,Single hospital or clinic,N,Y,US,North America,72,41,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,Linear regression
259,23576854,Sun et al.,2013,Single hospital or clinic,N,Y,China,Asia,55,35,AD,NR,NINCDS-ADRDA and DSM-IV,Serum,R,1,N,N,N,N,Y,"Student’s T test, paired T test, analysis of variance (ANOVA)"
260,3155531,Leffell et al.,1985,Single hospital or clinic,N,Y,US,North America,60,30,AD,NR,NR,Serum,R,1,Y,N,N,N,N,ANOVA
261,24405824,Fukasawa et al.,2014,Single hospital or clinic,N,Y,US,North America,74,49,AD,NR,NR,Plasma,R,1,N,N,N,Y,N,"Student’s T test, the Chi-sq-test, analysis of covariance (ANCOVA) and Spearman’s rank correlation test."
262,18367253,Bermejo et al.,2008,Single hospital or clinic,N,Y,Spain,Europe,73,45,AD,NR,NINCDS-ADRDA,Plasma,R,3,Y,N,N,N,N,Duncan’s test
263,NIP3,Kim et al.,2015,Single hospital or clinic,N,Y,Korea,Asia,80,56,AD,NR,NINCDS-ADRDA,Serum,R,4,N,N,N,N,Y,ANOVA
264,29966192,Bartos et al.,2018,Single hospital or clinic,N,Y,Czech Republic,Europe,100,49,AD,NR,NIA-AA,Serum,R,4,Y,N,N,N,N,"Mann-Whitney U test
Wilcoxon pair test"
265,8164471,Cacabelos et al.,1994,Single hospital or clinic,N,Y,Spain,Europe,26,14,AD,NR,NINCDS-ADRDA and DSM-III-R,Serum,R,1,Y,N,N,N,N,ANOVA； student T test
266,8780841,Lawlor et al.,1996,Single hospital or clinic,N,Y,Ireland,Europe,32,17,AD,NR,NINCDS-ADRDA,Plasma and serum,R,2,N,N,N,N,Y,ANOVA
267,9370085,Licastro et al.,1997,Single hospital or clinic,N,Y,Italy,Europe,30,20,AD,NR,DSM-III-R and NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,two-tailed Student’s T test
268,10504008,Maes et al.,1999,Single hospital or clinic,N,Y,Belgium,Europe,30,15,AD,NR,DSM-IV,Plasma and serum,R,2,Y,N,N,N,N,ANOVA and ANCOVA
269,10369114,Leblhuber et al.,1999,Single hospital or clinic,N,Y,Austria,Europe,38,24,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,Y,N,Mann–Whitney
270,11186601,Hull et al.,2000,Single hospital or clinic,N,Y,US,North America,89,51,AD,NR,NINCDS-ADRDA,Plasma,R,1,Y,N,N,N,N,2-tailed T tests
271,12175481,De Servi et al.,2002,Single hospital or clinic,N,Y,Italy,Europe,71,48,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,ANOVA
272,15501026,Mocali et al.,2004,Single hospital or clinic,N,Y,Italy,Europe,58,18,AD,NR,NINCDS-ADRDA,Plasma,R,1,N,N,N,N,Y,ANOVA
273,17988833,Bossu et al.,2008,Single hospital or clinic,N,Y,Italy,Europe,55,30,AD,NR,NINCDS-ADRDA,Serum,R,2,N,N,N,N,Y,ANOVA
274,19329192, Avagyan et al.,2009,Single hospital or clinic,N,Y,US,North America,61,35,AD,NR,NINCDS-ADRDA,Serum,R,1,N,N,N,N,Y,"T test,
Mann–Whitney"
275,19836632,Mancinella et al,2009,Single hospital or clinic,N,Y,Italy,Europe,133,34,AD,NR,NINCDS-ADRDA and DSM-IV,Plasma,R,1,N,N,N,N,Y,ANOVA
276,23432970,Porcellini et al.,2013,Single hospital or clinic,N,Y,Italy,Europe,439,291,AD,NR,NINCDS-ADRDA and DSM-III,Plasma,R,1,N,N,N,N,Y,ANOVA
277,25720398,Le Page et al.,2015,Single hospital or clinic,N,Y,Canada,North America,21,11,AD,NR,NINCDS-ADRDA,Plasma,NR,5,N,N,N,N,Y,ANOVA
