Full list of included studies and their publication information (ordered by total quality score),,,,,
Study ID,PMID,Author name,Year,Title,Journal
201,11236825,Licastro et al.,2001,Alpha-1-antichymotrypsin and oxidative stress in the peripheral blood from patients with probable Alzheimer disease: a short-term longitudinal study,Alzheimer Dis Assoc Disord
202,11240564,Tarkowski et al.,2001,Local and systemic GM-CSF increase in Alzheimer's disease and vascular dementia,Acta Neurol Scand
203,11589916,De Luigi et al.,2001,Inflammatory markers in Alzheimer's disease and multi-infarct dementia,Mech Ageing Dev
204,11992567,Shibata et al.,2002,Effect of IL-6 polymorphism on risk of Alzheimer disease: genotype-phenotype association study in Japanese cases,Am J Med Genet
205,11893840,Richartz et al.,2002,Increased serum levels of CD95 in Alzheimer's disease,Dement Geriatr Cogn Disord
206,12664314,Bagli et al.,2003,Polymorphisms of the gene encoding the inflammatory cytokine interleukin-6 determine the magnitude of the increase in soluble interleukin-6 receptor levels in Alzheimer's disease. Results of a pilot study,Eur Arch Psychiatry Clin Neurosci
207,14512725,Dziedzic et al.,2003,Dexamethasone inhibits TNF-alpha synthesis more effectively in Alzheimer's disease patients than in healthy individuals,Dement Geriatr Cogn Disord
208,15533994,Rezento et al.,2004,Serum levels of soluble intercellular adhesion molecule-1 and soluble endothelial leukocyte adhesion molecule-1 in Alzheimer's disease,J Geriatr Psychiatry Neurol
209,15843049,Lindberg et al.,2005,"Soluble interleukin-1 receptor type II, IL-18 and caspase-1 in mild cognitive impairment and severe Alzheimer's disease",Neurochem Int
210,16783499,Yasutake et al.,2006,"Serum BDNF, TNF-alpha and IL-1beta levels in dementia patients: comparison between Alzheimer's disease and vascular dementia",Eur Arch Psychiatry Clin Neurosci
211,17388976,Galimbert et al.,2007,IP-10 serum levels are not increased in mild cognitive impairment and Alzheimer's disease,Eur J Neurol
212,17917159,Zaciragic et al.,2007,Elevated serum C-reactive protein concentration in Bosnian patients with probable Alzheimer's disease,J Alzheimers Dis
213,18841009,Nilsson et al.,2008,C-reactive protein: vascular risk marker in elderly patients with mental illness,Dement Geriatr Cogn Disord
214,18992723,Yang et al.,2009,Expression and genetic analysis of tumor necrosis factor-alpha (TNF-alpha) G-308A polymorphism in sporadic Alzheimer's disease in a Southern China population,Brain Res
215,19494434,Larbi et al.,2009,Dramatic shifts in circulating CD4 but not CD8 T cell subsets in mild Alzheimer's disease,J Alzheimers Dis
216,19766699,Davis et al.,2009,"Sialic acid, homocysteine and CRP: potential markers for dementia",Neurosci Lett
217,20167378,Geppert et al.,2010,CCL3 correlates with the number of mood disturbances and personality changes in patients with Alzheimer's disease,Psychiatry Res
218,21633502,Bigalke et al.,2011,Adipocytokines and CD34 progenitor cells in Alzheimer's disease,PLoS One
219,21729423,Rasmuson et al.,2011,Increased serum levels of dehydroepiandrosterone (DHEA) and interleukin-6 (IL-6) in women with mild to moderate Alzheimer's disease,Int Psychogeriatr
220,22264991,Chen et al.,2012,Elevation of serum TNF-α levels in mild and moderate Alzheimer patients with daytime sleepiness,J Neuroimmunol
221,23380586,Zhang et al.,2013,Systemic immune system alterations in early stages of Alzheimer's disease,J Neuroimmunol
222,23576854,Sun et al.,2013,Elevated osteopontin levels in mild cognitive impairment and Alzheimer's disease,Mediators Inflamm
223,24405824,Fukasawa et al.,2014,Elevated inflammatory markers in diabetes-related dementia,Geriatr Gerontol Int
224,26283879,Song et al.,2015,Relationship between the hs-CRP as non-specific biomarker and Alzheimer's disease according to aging process,Int J Med Sci
225,25408215,Bulati et al.,2015,Double negative (IgG+IgD-CD27-) B cells are increased in a cohort of moderate-severe Alzheimer's disease patients and show a pro-inflammatory trafficking receptor phenotype,J Alzheimers Dis
226,30071285,Kilic et al.,2018,"Specific alterations in the circulating levels of the SIRT1, TLR4, and IL7 proteins in patients with dementia",Exp Gerontol
227,6631444,Alafuzoff et al.,1983,"Albumin and immunoglobulin in plasma and cerebrospinal fluid, and blood-cerebrospinal fluid barrier function in patients with dementia of Alzheimer type and multi-infarct dementia",J Neurol Sci
228,8164471,Cacabelos et al.,1994,Serum tumor necrosis factor (TNF) in Alzheimer's disease and multi-infarct dementia,Methods Find Exp Clin Pharmacol
229,8780841,Lawlor et al.,1996,Acute phase reactants in Alzheimer's disease,Biol Psychiatry
230,9370085,Licastro et al.,1997,Monomeric and polymeric forms of alpha-1 antichymotrypsin in sera from patients with probable late onset Alzheimer's disease,Dement Geriatr Cogn Disord
231,10504008,Maes et al.,1999,Inflammatory markers in younger vs elderly normal volunteers and in patients with Alzheimer's disease,J Psychiatr Res
232,10369114,Leblhuber et al.,1999,Increased serum neopterin concentrations in patients with Alzheimer's disease,Clin Chem Lab Med
233,11186601,Hull et al.,2000,Elevated plasma neopterin levels in Alzheimer disease,Alzheimer Dis Assoc Disord
234,12175481,De Servi et al.,2002,Decrease of TGF-beta1 plasma levels and increase of nitric oxide synthase activity in leukocytes as potential biomarkers of Alzheimer's disease,Exp Gerontol
235,15501026,Mocali et al.,2004,"Increased plasma levels of soluble CD40, together with the decrease of TGF beta 1, as possible differential markers of Alzheimer disease",Exp Gerontol
236,17988833,Bossu et al.,2008,Interleukin-18 produced by peripheral blood cells is increased in Alzheimer's disease and correlates with cognitive impairment,Brain Behav Immun
237,18367253,Bermejo et al.,2008,Differences of peripheral inflammatory markers between mild cognitive impairment and Alzheimer's disease,Immunol Lett
238,19329192,Avagyan et al.,2009,Immune blood biomarkers of Alzheimer disease patients,J Neuroimmunol
239,19836632,Mancinella et al,2009,Is there a relationship between high C-reactive protein (CRP) levels and dementia?,Arch Gerontol Geriatr
240,23432970,Porcellini et al.,2013,Monocyte chemoattractant protein-1 promoter polymorphism and plasma levels in alzheimer's disease,Immun Ageing
241,24831467,Belkhelfa et al.,2014,IFN-γ and TNF-α are involved during Alzheimer disease progression and correlate with nitric oxide production: a study in Algerian patients,J Interferon Cytokine Res
242,25720398,Le Page et al.,2015,NK Cells are Activated in Amnestic Mild Cognitive Impairment but not in Mild Alzheimer's Disease Patients,J Alzheimers Dis
243,Not in pubmed,Kim et al.,2015,Differences in C-reactive Protein Level in Patients with Alzheimer’s Disease and Mild Cognitive Impairment,J Psychiatry 
244,26402766,Busse et al.,2015,"Expression of HLA-DR, CD80, and CD86 in Healthy Aging and Alzheimer's Disease",J Alzheimers Dis
245,29966192,Bartos et al.,2018,Lower Serum Antibodies Against Tau Protein and Heavy Neurofilament in Alzheimer's Disease,J Alzheimers Dis
246,3522239,Alafuzoff et al.,1986,Isoelectric focusing and two-dimensional gel electrophoresis in plasma and cerebrospinal fluid from patients with dementia,Eur Neurol
247,1745413,Fillit et al.,1991,Elevated circulating tumor necrosis factor levels in Alzheimer's disease,Neurosci Lett
248,22026253,Cojocaru et al. ,2011,Study of interleukin-6 production in Alzheimer's disease,Rom J Intern Med
249,26142708,Busse et al.,2015,VGF expression by T lymphocytes in patients with Alzheimer's disease,Oncotarget
250,28386987,Kalelioglu et al.,2017,"Neutrophil and platelet to lymphocyte ratios in people with subjective, mild cognitive impairment and early Alzheimer's disease",Psychogeriatrics
251,32474469,Chen et al.,2020,Proteomic Profiling of Plasma and Brain Tissue from Alzheimer's Disease Patients Reveals Candidate Network of Plasma Biomarkers,J Alzheimers Dis
Footnote: Stuides were ordered by total score of quality assessment.,,,,,
